Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/20/2019 19,43.5,40.96,10852
01/20/2019 20,42.06,40.97,10736
01/20/2019 21,41.26,40.98,10594
01/20/2019 22,38.05,40.98,10380
01/20/2019 23,33.23,40.95,10039
01/20/2019 24,33.23,40.93,9732
01/21/2019 01,33.22,40.92,9545
01/21/2019 02,32.85,40.91,9474
01/21/2019 03,32.78,40.9,9455
01/21/2019 04,32.78,40.89,9433
01/21/2019 05,32.78,40.88,9472
01/21/2019 06,32.84,40.87,9712
01/21/2019 07,32.98,40.87,10091
01/21/2019 08,33.14,40.87,10621
01/21/2019 09,33.17,40.86,10803
01/21/2019 10,34.54,40.86,10776
01/21/2019 11,39.74,40.85,10803
01/21/2019 12,43,40.85,10776
01/21/2019 13,42.69,40.85,10658
01/21/2019 14,40.37,40.85,10597
01/21/2019 15,37.13,40.84,10599
01/21/2019 16,36.29,40.85,10627
01/21/2019 17,35.59,40.84,10745
01/21/2019 18,47.14,40.84,11089
01/21/2019 19,38.98,40.83,11060
01/21/2019 20,33.22,40.82,10937
01/21/2019 21,33.69,40.81,10801
01/21/2019 22,32.86,40.8,10527
01/21/2019 23,27.91,40.79,10157
01/21/2019 24,28.38,40.76,9929
01/22/2019 01,27.7,40.75,9775
01/22/2019 02,27.83,40.74,9705
01/22/2019 03,27.18,40.73,9675
01/22/2019 04,27.15,40.72,9639
01/22/2019 05,27.18,40.71,9606
01/22/2019 06,27.19,40.7,9791
01/22/2019 07,32.78,40.7,10235
01/22/2019 08,32.78,40.7,10701
01/22/2019 09,32.79,40.7,10812
01/22/2019 10,33.16,40.7,10810
01/22/2019 11,32.99,40.7,10804
01/22/2019 12,33.09,40.7,10735
01/22/2019 13,32.22,40.69,10583
01/22/2019 14,32.78,40.69,10568
01/22/2019 15,32.78,40.69,10597
01/22/2019 16,32.78,40.69,10588
01/22/2019 17,32.78,40.68,10650
01/22/2019 18,33.01,40.66,10919
01/22/2019 19,33.22,40.64,10855
01/22/2019 20,33.22,40.62,10776
01/22/2019 21,33.16,40.59,10674
01/22/2019 22,32.78,40.58,10439
01/22/2019 23,28.6,40.56,10081
01/22/2019 24,30.41,40.54,9805
01/23/2019 01,27.55,40.51,9621
01/23/2019 02,27.19,40.48,9505
01/23/2019 03,28.12,40.45,9474
01/23/2019 04,28.46,40.43,9506
01/23/2019 05,29.95,40.4,9528
01/23/2019 06,30.11,40.38,9688
01/23/2019 07,33.15,40.3,10142
01/23/2019 08,35.73,40.28,10669
01/23/2019 09,41.15,40.27,10861
01/23/2019 10,37.5,40.25,10848
01/23/2019 11,42.53,40.23,10867
01/23/2019 12,36.51,40.2,10890
01/23/2019 13,33.99,40.16,10862
01/23/2019 14,32.43,40.13,10911
01/23/2019 15,33.05,40.1,10915
01/23/2019 16,33.31,40.08,10932
01/23/2019 17,41.64,40.05,11096
01/23/2019 18,46.26,39.96,11253
01/23/2019 19,50.09,39.95,11202
01/23/2019 20,46.23,39.95,11128
01/23/2019 21,44.15,39.95,11061
01/23/2019 22,43.08,39.95,10853
01/23/2019 23,34.85,39.94,10532
01/23/2019 24,33.22,39.93,10277
01/24/2019 01,33.23,39.92,10106
01/24/2019 02,33.22,39.92,9976
01/24/2019 03,32.88,39.92,9934
01/24/2019 04,32.79,39.92,9881
01/24/2019 05,32.79,39.92,9899
01/24/2019 06,32.78,39.91,10050
01/24/2019 07,32.78,39.91,10460
01/24/2019 08,32.87,39.91,10887
01/24/2019 09,32.99,39.91,10941
01/24/2019 10,33.13,39.91,10988
01/24/2019 11,33.16,39.91,10908
01/24/2019 12,32.99,39.91,10886
01/24/2019 13,33.2,39.91,10799
01/24/2019 14,33.22,39.9,10733
01/24/2019 15,33.22,39.89,10666
01/24/2019 16,33.22,39.88,10663
01/24/2019 17,33.22,39.87,10802
01/24/2019 18,35.53,39.86,11074
01/24/2019 19,33.24,39.86,10993
01/24/2019 20,32.97,39.86,10853
01/24/2019 21,32.99,39.86,10776
01/24/2019 22,33.17,39.85,10571
01/24/2019 23,32.26,39.83,10242
01/24/2019 24,28.27,39.8,9877
01/25/2019 01,30.91,39.79,9697
01/25/2019 02,28.46,39.78,9587
01/25/2019 03,28.39,39.76,9508
01/25/2019 04,28.4,39.74,9485
01/25/2019 05,28.46,39.72,9539
01/25/2019 06,30,39.71,9710
01/25/2019 07,30.79,39.71,10079
01/25/2019 08,34.07,39.71,10561
01/25/2019 09,40.9,39.71,10730
01/25/2019 10,47.31,39.71,10711
01/25/2019 11,66.78,39.73,10653
01/25/2019 12,48.88,39.73,10626
01/25/2019 13,42.36,39.72,10578
01/25/2019 14,41.4,39.71,10568
01/25/2019 15,40.19,39.7,10521
01/25/2019 16,55.56,39.7,10458
01/25/2019 17,40.11,39.69,10453
01/25/2019 18,35.16,39.64,10722
01/25/2019 19,33.04,39.6,10710
01/25/2019 20,32.99,39.57,10595
01/25/2019 21,32.87,39.49,10459
01/25/2019 22,29.83,39.4,10303
01/25/2019 23,27.18,39.32,10012
01/25/2019 24,27.17,39.27,9743
01/26/2019 01,27.19,39.23,9496
01/26/2019 02,27.19,39.19,9366
01/26/2019 03,27.11,39.16,9283
01/26/2019 04,27.01,39.12,9220
01/26/2019 05,27.14,39.09,9224
01/26/2019 06,27.17,39.05,9222
01/26/2019 07,27.13,38.98,9397
01/26/2019 08,28.51,38.94,9682
01/26/2019 09,28.46,38.78,9894
01/26/2019 10,32.24,38.58,10016
01/26/2019 11,32.79,38.13,10152
01/26/2019 12,32.89,38.09,10183
01/26/2019 13,33.22,38.07,10165
01/26/2019 14,32.79,38.04,10091
01/26/2019 15,32.79,38.02,10024
01/26/2019 16,33.16,38,10003
01/26/2019 17,33.22,37.93,10120
01/26/2019 18,33.23,37.77,10420
01/26/2019 19,33.08,37.68,10434
01/26/2019 20,31.34,37.61,10275
01/26/2019 21,28.46,37.58,10136
01/26/2019 22,28.16,37.55,9919
01/26/2019 23,27.19,37.52,9709
01/26/2019 24,27.62,37.49,9468
01/27/2019 01,27.06,37.46,9262
01/27/2019 02,27.16,37.44,9134
01/27/2019 03,27.11,37.41,9064
01/27/2019 04,27.03,37.38,9001
01/27/2019 05,27.15,37.36,9005
01/27/2019 06,26.51,37.34,9082
01/27/2019 07,27.03,37.33,9243
01/27/2019 08,27.18,37.32,9476
01/27/2019 09,28.33,37.32,9724
01/27/2019 10,28.46,37.31,9833
01/27/2019 11,29.27,37.31,9966
01/27/2019 12,29.66,37.29,10037
01/27/2019 13,32.79,37.27,10148
01/27/2019 14,31.48,37.26,10150
01/27/2019 15,28.62,37.26,10181
01/27/2019 16,32.45,37.26,10251
01/27/2019 17,32.92,37.25,10508
01/27/2019 18,34.46,37.26,10885
01/27/2019 19,34.83,37.26,10877
01/27/2019 20,32.89,37.26,10776
01/27/2019 21,32.79,37.27,10639
01/27/2019 22,32.79,37.27,10410
01/27/2019 23,32.79,37.28,10071
01/27/2019 24,32.78,37.29,9775
01/28/2019 01,32.78,37.29,9607
01/28/2019 02,32.16,37.3,9524
01/28/2019 03,28.82,37.29,9409
01/28/2019 04,29.16,37.29,9426
01/28/2019 05,32.58,37.29,9503
01/28/2019 06,33.03,37.29,9719
01/28/2019 07,39.8,37.31,10178
01/28/2019 08,41.07,37.33,10715
